Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
25,Male,185,85,Moderately Active,Weight Loss,Omnivore,2200,150,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
38,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,120,200,50,"Tofu scramble, vegetables","Lentil soup, whole-grain bread","Chickpea, vegetable curry",Almonds
62,Female,160,70,Sedentary,Maintenance,Vegan,1800,80,220,50,"Tofu, vegetable stir-fry","Vegan chili, brown rice","Black bean burgers, sweet potato fries","Fruit, vegetable salad"
45,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,200,350,80,"Scrambled eggs, whole-wheat toast","Chicken breast, brown rice, broccoli","Beef stir-fry, brown rice",Protein shake
28,Female,170,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,"Yogurt, granola, fruit","Tuna salad sandwich, whole-grain bread","Chicken stir-fry, brown rice","Apple, almond butter"
55,Male,175,80,Sedentary,Weight Loss,Omnivore,1800,110,220,50,"Oatmeal, fruit, nuts","Turkey breast sandwich, whole-grain bread","Lentil soup, whole-grain bread",Trail mix
22,Female,168,62,Lightly Active,Muscle Gain,Vegan,2000,100,250,50,"Tofu scramble, vegetables","Chickpea pasta, marinara sauce",Vegan lentil stew,"Fruit, vegetable salad"
30,Male,180,78,Moderately Active,Muscle Gain,Omnivore,2500,180,300,70,"Greek yogurt, fruit, granola","Chicken breast, sweet potato, broccoli","Steak, roasted vegetables",Protein bar
68,Male,170,75,Sedentary,Maintenance,Omnivore,1600,80,180,40,"Eggs, whole-wheat toast","Chicken salad sandwich, whole-grain bread","Salmon, vegetables","Fruit, nuts"
35,Female,175,72,Very Active,Weight Loss,Vegetarian,2000,120,240,60,"Tofu scramble, vegetables","Chickpea pasta salad, vegetables","Black bean burgers, sweet potato fries","Fruit, vegetable salad"
25,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Lentil soup, whole wheat bread","Greek yogurt, fruit"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,150,300,80,"Scrambled eggs, whole wheat toast","Chicken breast, brown rice, vegetables","Salmon, sweet potato, broccoli",Protein shake
55,Female,160,68,Sedentary,Weight Loss,Vegetarian,1500,70,150,40,"Tofu scramble, whole wheat toast","Black bean burger, a whole wheat bun","Lentil stew, brown rice","Fruit salad, yogurt"
28,Male,190,95,Very Active,Muscle Gain,Vegan,3200,180,400,100,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Chickpea pasta, marinara sauce","Trail mix, dried fruit, nuts"
62,Male,175,80,Lightly Active,Maintenance,Omnivore,2200,100,250,60,"Greek yogurt, fruit, granola","Tuna salad sandwich, whole wheat bread","Chicken stir-fry, brown rice","Mixed nuts, seeds"
21,Female,170,60,Moderately Active,Weight Loss,Vegan,1600,70,180,50,"Tofu, vegetable stir-fry","Black bean, sweet potato burrito","Lentil soup, whole wheat bread","Fruit, nut butter"
48,Female,168,75,Sedentary,Maintenance,Vegetarian,1800,80,200,60,"Tofu scramble, whole wheat toast","Vegetarian chili, brown rice","Lentil, vegetable curry, brown rice","Fruit, yogurt"
35,Male,185,100,Very Active,Muscle Gain,Omnivore,3000,160,350,90,"Oatmeal, protein powder","Chicken breast, quinoa, vegetables","Beef stir-fry, brown rice",Protein shake
40,Male,178,88,Moderately Active,Muscle Gain,Omnivore,2600,140,280,80,"Scrambled eggs, whole wheat toast","Chicken, vegetable skewers","Salmon, roasted vegetables",Protein bar
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,200,60,"Oatmeal, berries, nuts","Grilled chicken salad, quinoa","Salmon, roasted vegetables","Apple, peanut butter"
32,Female,165,68,Lightly Active,Muscle Gain,Vegetarian,2000,100,250,60,"Tofu scramble, vegetables","Lentil soup, whole-wheat bread","Chickpea curry, brown rice","Mixed nuts, dried fruit"
55,Male,175,95,Sedentary,Maintenance,Omnivore,2000,80,250,60,"Greek yogurt, fruit, granola","Chicken stir-fry, brown rice","Tuna salad sandwich, whole-wheat bread",Banana
28,Female,170,72,Very Active,Weight Loss,Vegan,1800,80,180,50,"Tofu, vegetable breakfast burrito","Lentil, vegetable stew","Tofu stir-fry, brown rice","Fruit salad, nuts"
62,Female,160,65,Lightly Active,Weight Loss,Vegan,1600,60,150,40,"Overnight oats, berries, chia seeds","Lentil, vegetable soup","Black bean burgers, sweet potato fries",Trail mix
40,Male,185,90,Moderately Active,Muscle Gain,Omnivore,2500,150,300,80,"Scrambled eggs, whole-wheat toast","Chicken breast, brown rice, vegetables","Steak, sweet potato, asparagus",Protein bar
38,Female,172,78,Sedentary,Maintenance,Omnivore,1800,80,200,60,"Smoothie, fruit, protein powder","Chicken, vegetable soup","Quinoa salad, grilled chicken","Greek yogurt, fruit"
22,Male,190,105,Very Active,Muscle Gain,Vegan,2800,130,350,90,"Tofu scramble, vegetables, whole-wheat toast","Lentil pasta, vegan cheese","Tofu, vegetable stir-fry, brown rice","Rice cakes, peanut butter"
19,Female,168,55,Moderately Active,Weight Loss,Vegetarian,1800,70,180,50,"Oatmeal, fruit, nuts","Quinoa salad, grilled tofu","Vegetable curry, brown rice","Hummus, vegetables"
45,Male,178,82,Lightly Active,Muscle Gain,Omnivore,2300,110,270,70,"Greek yogurt, fruit, granola","Chicken breast, brown rice, vegetables","Salmon, roasted vegetables",Protein shake
25,Female,165,58,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,"Oatmeal, berries, nuts","Lentil soup, whole wheat bread","Grilled chicken salad, quinoa","Apple, peanut butter"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,150,300,80,"Scrambled eggs, whole wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Salmon, roasted vegetables",Protein shake
58,Female,160,70,Sedentary,Weight Loss,Vegetarian,1500,70,150,40,"Tofu scramble, whole wheat toast, fruit","Lentil stew, whole wheat bread","Vegetable curry, brown rice","Greek yogurt, fruit"
65,Male,175,90,Lightly Active,Maintenance,Vegan,2200,80,250,60,"Tofu scramble, whole wheat toast, fruit","Lentil soup, whole wheat bread","Chickpea, vegetable curry, brown rice",Trail mix
42,Female,170,65,Moderately Active,Weight Loss,Vegan,1900,70,220,50,"Oatmeal, fruit, nuts","Vegetable stir-fry, brown rice","Lentil pasta, marinara sauce","Banana, almond butter"
38,Male,185,95,Very Active,Muscle Gain,Omnivore,3200,170,350,90,"Greek yogurt, fruit, granola","Chicken breast, brown rice, steamed vegetables","Steak, baked potato, salad",Protein bar
28,Female,162,55,Sedentary,Weight Loss,Vegetarian,1600,65,180,45,"Scrambled eggs, whole wheat toast, fruit","Lentil soup, whole wheat bread","Vegetable lasagna, salad","Fruit salad, yogurt"
62,Male,170,80,Moderately Active,Maintenance,Vegan,2000,75,220,55,"Tofu scramble, whole wheat toast, fruit","Lentil soup, whole wheat bread","Chickpea, vegetable curry, brown rice",Trail mix
21,Female,158,48,Lightly Active,Weight Loss,Omnivore,1500,60,170,45,"Oatmeal, berries, nuts","Chicken salad sandwich, whole wheat bread","Grilled chicken, roasted vegetables","Greek yogurt, fruit"
55,Male,178,88,Sedentary,Maintenance,Vegetarian,1900,70,200,55,"Tofu scramble, whole wheat toast, fruit","Lentil soup, whole wheat bread","Vegetable stir-fry, brown rice",Trail mix
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,180,50,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Lentil soup, whole-wheat bread","Apple, peanut butter"
32,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,220,60,"Tofu scramble, whole-wheat toast","Lentil, vegetable curry, brown rice","Vegetable stir-fry, brown rice",Trail mix
55,Female,160,75,Lightly Active,Weight Loss,Vegan,1600,70,150,40,"Tofu, vegetable breakfast burrito","Lentil, vegetable stew, brown rice","Chickpea pasta, tomato sauce, vegetables","Fruit, nut mix"
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,270,80,"Greek yogurt, fruit, granola","Chicken breast, brown rice, roasted vegetables","Salmon, quinoa, steamed vegetables",Protein shake
62,Male,175,85,Sedentary,Maintenance,Omnivore,2200,100,200,70,"Eggs, whole-wheat toast","Tuna salad sandwich, whole-wheat bread","Chicken stir-fry, brown rice","Banana, almond butter"
28,Female,170,55,Moderately Active,Muscle Gain,Vegetarian,2400,110,240,70,"Tofu scramble, whole-wheat toast","Bean burrito, brown rice","Vegetable stir-fry, tofu, brown rice","Fruit, nut mix"
35,Male,185,110,Very Active,Weight Loss,Omnivore,2500,150,200,60,"Oatmeal, protein powder, berries","Turkey sandwich, whole-wheat bread","Chicken breast, roasted vegetables, quinoa","Greek yogurt, fruit, nuts"
22,Female,160,50,Lightly Active,Muscle Gain,Vegan,2200,100,220,60,"Tofu, vegetable breakfast burrito","Lentil, vegetable stew, brown rice","Chickpea pasta, tomato sauce, vegetables","Fruit, nut mix"
48,Male,180,90,Moderately Active,Weight Loss,Omnivore,2100,130,170,50,"Greek yogurt, fruit, granola","Turkey sandwich, whole-wheat bread","Salmon, roasted vegetables, brown rice",Trail mix
58,Female,155,60,Sedentary,Maintenance,Vegan,1500,60,130,40,"Tofu, vegetable scramble, whole-wheat toast","Lentil, vegetable soup, whole-wheat bread","Chickpea pasta, tomato sauce, vegetables","Fruit, nuts"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,200,60,"Greek yogurt, berries, granola","Grilled chicken salad, mixed greens, vegetables","Salmon, roasted vegetables, quinoa","Apple slices, peanut butter"
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1800,80,180,50,"Tofu scramble, spinach, avocado","Lentil soup, wholegrain bread","Chickpea pasta, vegetable sauce","Trail mix, nuts, seeds"
55,Male,175,95,Sedentary,Maintenance,Omnivore,2400,100,250,70,"Oatmeal, fruit, nuts","Chicken stir-fry, brown rice","Roast beef, mashed potatoes, peas","Popcorn, a touch of olive oil"
28,Female,170,72,Very Active,Muscle Gain,Vegan,2600,130,280,70,"Tofu, vegetable scramble, wholegrain toast","Lentil stew, brown rice","Black bean burgers, wholegrain buns","Smoothie, protein powder, fruit"
62,Female,160,60,Sedentary,Weight Loss,Vegan,1600,60,150,40,"Oatmeal, berries, flax seeds","Lentil soup, wholegrain bread","Tofu stir-fry, brown rice","Almond milk, banana, chia seeds"
38,Male,190,105,Moderately Active,Muscle Gain,Omnivore,3000,160,300,90,"Eggs, wholegrain toast, avocado","Chicken breast, brown rice, vegetables","Steak, sweet potato, green beans","Greek yogurt, fruit, nuts"
22,Female,168,58,Lightly Active,Maintenance,Vegetarian,1900,70,200,60,"Breakfast burrito, beans, vegetables","Chickpea salad sandwich, wholegrain bread","Tofu stir-fry, brown rice","Hummus, wholegrain crackers"
40,Male,178,85,Very Active,Weight Loss,Vegan,2400,120,220,60,"Tofu scramble, spinach, avocado","Lentil stew, brown rice","Black bean burgers, wholegrain buns","Popcorn, a touch of olive oil"
27,Female,172,68,Moderately Active,Weight Loss,Omnivore,1900,90,180,50,"Greek yogurt, berries, granola","Grilled chicken salad, mixed greens, vegetables","Salmon, roasted vegetables, quinoa","Apple slices, peanut butter"
58,Male,182,100,Lightly Active,Maintenance,Vegan,2200,80,200,60,"Oatmeal, berries, flax seeds","Lentil soup, wholegrain bread","Tofu stir-fry, brown rice","Almond milk, banana, chia seeds"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Greek yogurt, berries, granola","Chicken breast salad, mixed greens","Salmon, roasted vegetables","Apple, peanut butter"
32,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,200,50,"Tofu scramble, vegetables","Lentil soup, whole-wheat bread","Vegetarian chili, brown rice",Trail mix
58,Female,160,70,Lightly Active,Weight Loss,Vegan,1600,70,180,40,"Oatmeal, fruit, nuts","Black bean burger, whole-wheat bun","Lentil stew, brown rice","Banana, almond butter"
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,350,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, vegetables","Steak, sweet potato, green beans",Protein shake
62,Male,175,85,Lightly Active,Weight Loss,Vegetarian,1800,80,200,50,"Greek yogurt, fruit, granola","Black bean burger, whole-wheat bun","Vegetarian chili, brown rice","Apple, peanut butter"
38,Female,170,75,Moderately Active,Maintenance,Vegan,2000,80,220,60,"Tofu scramble, vegetables","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice",Trail mix
28,Male,185,90,Very Active,Muscle Gain,Omnivore,3200,200,400,90,"Oatmeal, protein powder, fruit","Chicken breast, brown rice, vegetables","Steak, sweet potato, green beans",Protein shake
55,Female,155,60,Sedentary,Weight Loss,Vegan,1400,60,160,30,"Oatmeal, fruit, nuts","Black bean burger, whole-wheat bun","Lentil stew, brown rice","Banana, almond butter"
70,Male,170,75,Lightly Active,Maintenance,Omnivore,1800,80,200,50,"Scrambled eggs, whole-wheat toast, avocado","Tuna salad sandwich, whole-wheat bread","Chicken breast, vegetables","Yogurt, fruit"
22,Female,168,55,Moderately Active,Weight Loss,Vegetarian,1600,70,180,40,"Greek yogurt, fruit, granola","Black bean burger, whole-wheat bun","Vegetarian chili, brown rice","Apple, peanut butter"
25,Female,165,55,Moderately Active,Weight Loss,Omnivore,1800,75,200,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2800,150,300,80,"Scrambled eggs, whole-wheat toast","Chicken breast, brown rice, quinoa","Steak, sweet potato fries",Protein shake
58,Female,160,68,Sedentary,Weight Loss,Vegetarian,1500,60,170,40,"Tofu scramble, vegetables","Black bean burger, a whole-wheat bun","Lentil soup, whole-grain bread","Fruit salad, nuts"
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3500,200,400,100,"Protein pancakes, fruit","Chicken stir-fry, brown rice","Chicken breast, sweet potato, broccoli",Protein bar
62,Female,155,50,Sedentary,Weight Loss,Vegan,1400,50,150,30,"Tofu scramble, vegetables","Vegetable stir-fry, rice noodles","Lentil soup, whole-grain bread","Fruit salad, nuts"
28,Male,175,70,Moderately Active,Maintenance,Omnivore,2500,100,250,70,"Greek yogurt, fruit, granola","Chicken, vegetable wrap","Salmon, roasted vegetables",Trail mix
65,Male,170,75,Lightly Active,Weight Loss,Omnivore,1700,70,180,50,"Oatmeal, berries, nuts","Tuna salad sandwich, whole-wheat bread","Chicken breast, roasted vegetables","Yogurt parfait, granola"
35,Female,168,60,Very Active,Muscle Gain,Vegan,2500,100,300,70,"Tofu scramble, vegetables","Chickpea pasta, vegetable sauce","Lentil stew, whole-grain bread",Trail mix
48,Male,185,100,Moderately Active,Weight Loss,Omnivore,2200,90,220,60,"Scrambled eggs, whole-wheat toast","Chicken breast, mixed greens salad","Salmon, roasted vegetables","Fruit, nut mix"
22,Female,170,58,Lightly Active,Maintenance,Vegetarian,2000,80,200,60,"Yogurt, fruit, granola","Bean burrito, brown rice","Lentil soup, whole-grain bread","Fruit, nut mix"
25,Female,165,55,Moderately Active,Weight Loss,Omnivore,1800,100,200,60,"Greek yogurt, berries, granola","Chicken breast salad, mixed greens, avocado","Salmon, roasted vegetables, quinoa","Apple, peanut butter"
38,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2800,160,300,80,"Oatmeal, protein powder, banana","Chicken stir-fry, brown rice","Beef, vegetable skewers, sweet potato fries",Protein bar
55,Female,160,65,Sedentary,Weight Loss,Vegetarian,1500,75,150,45,"Tofu scramble, vegetables, whole wheat toast","Lentil soup, whole grain bread","Tofu stir-fry, brown rice","Fruit, nuts"
62,Male,175,90,Moderately Active,Maintenance,Vegan,2400,120,280,70,"Tofu, vegetable scramble, avocado toast","Lentil, vegetable curry, brown rice","Vegan chili, whole grain bread","Mixed nuts, dried fruit"
28,Female,170,60,Very Active,Muscle Gain,Vegan,2500,140,300,70,"Tofu, vegetable breakfast burrito","Lentil, chickpea salad, whole grain pita","Vegan pasta, vegetables, cashew cream sauce",Trail mix
42,Male,185,95,Lightly Active,Muscle Gain,Omnivore,2600,150,280,80,"Scrambled eggs, whole wheat toast, smoked salmon","Chicken breast, brown rice, roasted vegetables","Steak, sweet potato fries","Greek yogurt, fruit, granola"
58,Female,155,50,Sedentary,Weight Loss,Vegetarian,1400,70,140,40,"Oatmeal, berries, nuts","Lentil, vegetable soup, whole grain bread","Quinoa salad, grilled vegetables","Fruit, cottage cheese"
33,Male,190,100,Moderately Active,Maintenance,Vegan,2600,130,300,70,"Tofu, vegetable stir-fry, brown rice","Lentil, vegetable curry, brown rice, naan bread","Vegan pizza, vegetables, cashew cheese","Fruit, nuts"
21,Female,168,58,Very Active,Muscle Gain,Omnivore,2400,130,280,70,"Greek yogurt, berries, granola","Chicken breast salad, mixed greens, avocado","Salmon, roasted vegetables, brown rice",Protein bar
68,Male,170,75,Lightly Active,Weight Loss,Omnivore,1800,90,180,50,"Eggs, whole wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Fish, roasted vegetables, quinoa","Fruit, cottage cheese"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Greek yogurt, berries, granola","Chicken breast salad, mixed greens, avocado","Salmon, roasted vegetables","Apple, almond butter"
38,Female,165,65,Lightly Active,Maintenance,Vegetarian,1800,80,200,50,"Tofu scramble, vegetables, whole wheat toast","Lentil soup, whole wheat bread","Vegetarian chili, brown rice","Trail mix, nuts, dried fruit"
62,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,100,200,50,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole wheat bread","Chicken stir-fry, brown rice","Mixed nuts, dried fruit"
45,Female,170,75,Very Active,Muscle Gain,Vegan,2500,140,300,80,"Tofu scramble, vegetables, avocado toast","Chickpea pasta salad, roasted vegetables","Lentil, vegetable curry, brown rice","Banana, peanut butter"
58,Male,185,105,Moderately Active,Weight Loss,Omnivore,2000,110,220,60,"Eggs, whole wheat toast, avocado","Turkey breast sandwich, mixed greens","Chicken, vegetable stir-fry","Greek yogurt, berries"
22,Female,160,50,Lightly Active,Weight Loss,Vegan,1600,70,180,40,"Overnight oats, chia seeds, fruit","Black bean burger, whole wheat bun, salad","Lentil, vegetable stew, whole wheat bread","Apple slices, almond butter"
70,Female,155,55,Sedentary,Weight Loss,Vegetarian,1400,70,160,40,"Fruit, yogurt parfait","Mixed greens salad, chickpeas, tahini dressing","Tofu, vegetable stir-fry, brown rice","Almonds, dried fruit"
30,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,350,100,"Pancakes, fruit, nuts","Chicken, rice bowl, vegetables","Steak, sweet potato, asparagus","Protein shake, fruit, greens"
42,Female,168,60,Moderately Active,Maintenance,Vegan,1800,80,200,50,"Tofu scramble, vegetables, avocado toast","Lentil, vegetable soup, whole wheat bread","Tempeh stir-fry, brown rice","Fruit salad, nuts, seeds"
55,Male,178,85,Sedentary,Weight Loss,Omnivore,1800,100,200,50,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole wheat bread","Chicken breast, roasted vegetables","Dark chocolate, almonds"
25,Female,165,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,60,"Greek yogurt, berries, granola","Lentil soup, whole wheat bread","Salmon, roasted vegetables","Fruit, nuts"
38,Male,180,85,Lightly Active,Maintenance,Vegetarian,2500,120,300,80,"Tofu scramble, veggies","Lentil salad, quinoa, avocado","Black bean burger, sweet potato fries",Trail mix
55,Female,160,70,Sedentary,Weight Loss,Vegan,1500,80,150,50,"Tofu, vegetable stir-fry","Lentil soup, whole grain bread","Vegetable curry, brown rice","Fruit, nuts"
62,Male,175,95,Moderately Active,Maintenance,Omnivore,2800,140,350,100,"Oatmeal, fruit, nuts","Chicken stir-fry, brown rice","Chicken breast, roasted vegetables","Yogurt, granola"
28,Female,170,65,Very Active,Muscle Gain,Vegetarian,2400,130,300,80,"Tofu, vegetable scramble","Quinoa salad, chickpeas, avocado","Vegetarian chili, brown rice",Protein smoothie
32,Male,185,90,Lightly Active,Weight Loss,Omnivore,2200,110,250,70,"Eggs, whole wheat toast","Chicken salad, whole grain bread","Chicken breast, baked potato","Apple, peanut butter"
58,Female,155,62,Sedentary,Weight Loss,Vegan,1400,70,140,40,"Tofu, vegetable stir-fry","Lentil soup, whole grain bread","Vegetable curry, brown rice","Fruit, nuts"
40,Male,190,110,Very Active,Muscle Gain,Omnivore,3200,160,400,120,"Oatmeal, protein powder, fruit","Chicken breast, brown rice","Steak, sweet potato fries",Protein shake
21,Female,168,55,Lightly Active,Maintenance,Vegan,2000,90,220,60,"Tofu, vegetable scramble","Lentil soup, whole grain bread","Vegetable curry, brown rice","Fruit, nuts"
70,Male,170,75,Sedentary,Maintenance,Omnivore,2000,100,250,70,"Greek yogurt, fruit, granola","Chicken salad, whole grain bread","Chicken breast, roasted vegetables",Trail mix
25,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,180,350,80,"Greek yogurt, berries, granola","Chicken breast, brown rice, roasted vegetables","Salmon, quinoa, steamed broccoli",Protein shake
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1800,100,200,50,"Oatmeal, fruit, nuts","Lentil soup, whole-wheat bread","Tofu stir-fry, brown rice","Fruit, yogurt"
58,Male,175,90,Sedentary,Weight Loss,Omnivore,2000,120,250,60,"Scrambled eggs, whole-wheat toast","Chicken salad sandwich, whole-wheat bread","Baked chicken, sweet potato, green beans",Trail mix
62,Female,160,70,Moderately Active,Maintenance,Vegan,1900,90,220,60,"Tofu scramble, vegetables, whole-wheat toast","Black bean burger, a whole-wheat bun, salad","Lentil stew, brown rice","Fruit, nuts"
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3200,200,400,100,"Oatmeal, protein powder, fruit","Chicken breast, sweet potato, roasted vegetables","Steak, quinoa, steamed broccoli",Protein bar
45,Female,170,75,Lightly Active,Weight Loss,Vegetarian,1600,80,180,40,"Greek yogurt, fruit, granola","Quinoa salad, vegetables","Lentil soup, whole-wheat bread","Fruit, nuts"
30,Male,185,95,Moderately Active,Muscle Gain,Vegan,2800,180,350,80,"Tofu scramble, vegetables, whole-wheat toast","Chickpea pasta, vegetables, vegan cheese","Lentil stew, brown rice",Protein shake
65,Female,155,60,Sedentary,Maintenance,Omnivore,1700,80,200,50,"Scrambled eggs, whole-wheat toast","Tuna salad sandwich, whole-wheat bread","Baked fish, steamed vegetables","Fruit, yogurt"
22,Female,168,55,Very Active,Muscle Gain,Vegetarian,2400,140,300,70,"Oatmeal, protein powder, fruit","Bean burrito, brown rice",Vegetarian chili,Protein bar
50,Male,170,85,Lightly Active,Weight Loss,Vegan,1900,100,220,60,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, whole-wheat bread",Vegan lasagna,"Fruit, nuts"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,150,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, quinoa","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Female,165,60,Sedentary,Maintenance,Vegetarian,1800,100,220,50,"Tofu scramble, vegetables","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice","Trail mix, nuts, seeds"
55,Male,175,90,Lightly Active,Weight Loss,Omnivore,1800,130,200,60,"Scrambled eggs, whole-wheat toast","Chicken, vegetable stir-fry, brown rice","Turkey chili, cornbread","Apple slices, peanut butter"
28,Female,170,70,Very Active,Muscle Gain,Vegan,2500,175,350,80,"Tofu, vegetable stir-fry, brown rice","Black bean burger, whole-wheat bun","Lentil, vegetable curry","Protein smoothie, fruit"
40,Male,190,110,Moderately Active,Weight Loss,Omnivore,2200,160,280,70,"Greek yogurt, granola, berries","Chicken breast, roasted vegetables, quinoa","Turkey meatballs, spaghetti squash","Trail mix, nuts, seeds"
62,Female,160,55,Sedentary,Maintenance,Vegan,1500,80,180,40,"Tofu scramble, vegetables","Vegetable soup, whole-wheat bread","Lentil, vegetable curry","Fruit salad, nuts"
22,Male,185,95,Very Active,Muscle Gain,Omnivore,3000,200,400,100,"Oatmeal, protein powder","Chicken breast, brown rice, vegetables","Steak, sweet potato, asparagus",Protein bar
38,Female,168,65,Lightly Active,Weight Loss,Vegan,1600,100,200,50,"Tofu scramble, vegetables","Black bean burger, whole-wheat bun","Vegetable stir-fry, brown rice","Fruit, almonds"
27,Female,172,75,Moderately Active,Maintenance,Vegetarian,2000,120,250,60,"Scrambled eggs, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetable curry, brown rice","Trail mix, nuts, seeds"
